Sig Yield, Bkg Yield, Significance : cut points
2364, 115640, 0.204339:  32.783 132.375
179, 4937, 0.358951:  92.4991 284.955
264, 5328, 0.49091:  205.923 226.268
1865, 48243, 0.386185:  49.9973 169.414
102, 2939, 0.341299:  235.683 250.762
264, 5314, 0.492191:  206.782 223.418
2017, 50653, 0.397807:  32.2025 171.169
524, 8878, 0.586927:  155.042 230.705
1274, 36774, 0.34597:  117.23 155.538
2051, 72284, 0.283546:  48.1473 150.241
1621, 34900, 0.463806:  59.667 183.329
1022, 18666, 0.546059:  119.534 198.72
465, 8019, 0.576291:  183.608 215.194
39, 1427, 0.2642:  134.923 358.957
1008, 17894, 0.56175:  116.581 202.516
1337, 22560, 0.591333:  63.2418 205.237
53, 1835, 0.281266:  41.7227 352.998
80, 2461, 0.318661:  245.077 256.692
692, 11454, 0.601536:  105.247 232.883
76, 2406, 0.30951:  199.111 304.112
1297, 45012, 0.287826:  118.095 135.792
671, 12685, 0.526898:  165.939 187.633
1319, 45486, 0.289661:  116.142 138.601
2606, 207921, 0.125306:  24.3974 108.189
2446, 124566, 0.196283:  28.1478 130.277
1364, 22483, 0.605336:  55.203 207.027
566, 9308, 0.604839:  164.362 221.028
356, 6617, 0.533988:  180.416 237.677
1129, 31564, 0.357121:  130.052 151.851
159, 3736, 0.420005:  221.884 245.698
790, 16437, 0.479168:  157.037 170.553
124, 3730, 0.328071:  135.875 293.322
1337, 21519, 0.619873:  54.6927 209.353
773, 12641, 0.609098:  116.722 223.605
2060, 170531, 0.120764:  63.7954 99.3376
708, 12132, 0.58119:  30.6621 243.651
1979, 76757, 0.257659:  56.9809 144.521
1482, 38490, 0.384536:  94.2385 166.885
853, 13599, 0.624958:  70.9824 230.787
574, 10262, 0.55664:  84.072 244.16
1207, 32820, 0.367205:  122.403 159.193
1425, 21313, 0.667043:  21.5151 215.185
291, 5680, 0.507873:  203.732 219.7
337, 7747, 0.432226:  35.2715 267.485
453, 8978, 0.50178:  68.98 254.542
730, 11884, 0.611703:  136.703 219.882
5, 95, 0.367359:  429.112 475.024
68, 2259, 0.294569:  248.902 263.358
2521, 118497, 0.212658:  16.7146 135.119
153, 3797, 0.397746:  218.682 251.589
1811, 71155, 0.254336:  74.421 141.665
1960, 48951, 0.399992:  37.1354 171.778
589, 10053, 0.583002:  137.287 230.849
309, 6992, 0.438807:  110.076 260.98
136, 3472, 0.386183:  226.804 244.4
232, 5325, 0.431647:  168.188 260.353
1483, 56484, 0.26232:  103.954 136.633
538, 8966, 0.596726:  166.852 221.996
1272, 24956, 0.508679:  97.9951 190.116
1081, 20468, 0.526856:  116.974 194.111
424, 7546, 0.558201:  159.678 239.495
267, 6437, 0.411605:  104.433 267.082
973, 20132, 0.482114:  134.66 184.806
1021, 16739, 0.608139:  104.188 211.111
166, 4671, 0.35164:  100.698 286.678
953, 17940, 0.529741:  132.461 194.542
123, 3271, 0.370412:  230.859 240.392
28, 941, 0.282903:  225.943 368.09
1724, 44309, 0.388647:  64.385 169.935
1430, 56489, 0.252923:  108.511 130.316
1688, 90926, 0.185543:  91.4136 114.36
110, 3108, 0.348365:  230.976 257.503
347, 7283, 0.473214:  129.265 253.707
1735, 29730, 0.582607:  19.1788 198.794
105, 3234, 0.319769:  171.798 292.438
1838, 101599, 0.180818:  78.5881 119.29
411, 7410, 0.550951:  190.89 209.543
1095, 16955, 0.643931:  62.6038 220.274
732, 11932, 0.610922:  85.9399 235.156
148, 4105, 0.356223:  149.002 284.156
973, 15024, 0.645486:  27.632 232.466
648, 11374, 0.567232:  32.2888 246.822
1281, 18976, 0.673292:  22.7212 220.89
763, 12436, 0.611089:  65.5454 236.809
1813, 32401, 0.558689:  17.1822 194.96
280, 6790, 0.409368:  57.5947 271.954
82, 2630, 0.306023:  189.089 300.954
486, 8181, 0.590462:  178.531 219.696
534, 9817, 0.541205:  71.7824 248.855
1618, 36201, 0.446333:  64.982 180.139
97, 2824, 0.33756:  235.946 260.906
257, 5699, 0.447051:  161.268 258.555
977, 17153, 0.567927:  119.796 203.954
333, 6417, 0.514937:  180.398 240.085
151, 3551, 0.419368:  223.533 249.702
1514, 25808, 0.585507:  44.9321 201.769
1774, 108449, 0.163504:  84.9472 108.855
193, 5302, 0.360629:  49.7344 286.574
1790, 54700, 0.326941:  68.1706 158.041
1207, 28392, 0.424373:  117.729 173.089
1188, 18221, 0.650213:  55.1839 217.873
89, 2703, 0.323337:  239.86 255.083
1295, 20581, 0.627698:  56.0602 211.468
1873, 121342, 0.154294:  77.5292 108.935
209, 4981, 0.415445:  166.588 265.521
799, 13435, 0.592514:  139.038 210.581
666, 11179, 0.593113:  126.242 228.1
360, 7289, 0.490541:  134.534 252.156
1000, 21841, 0.45681:  134.501 178.997
2043, 111519, 0.183115:  59.9492 124.695
827, 13224, 0.623027:  60.9483 233.995
59, 2063, 0.279302:  253.355 271.926
1285, 31446, 0.407989:  112.167 169.725
1656, 41475, 0.398796:  70.9053 171.502
902, 14272, 0.629804:  20.1529 236.13
435, 8140, 0.531145:  133.611 245.449
2, 28, 0.334077:  372.104 654.782
1884, 45047, 0.417766:  41.7807 174.851
1413, 24333, 0.579503:  55.9552 202.758
272, 5372, 0.501681:  206.2 222.736
83, 2521, 0.322893:  241.864 265.535
1880, 94529, 0.198776:  73.6586 126.707
977, 23342, 0.417665:  140.234 165.874
15, 644, 0.216701:  285.886 375.81
571, 9670, 0.587456:  170.021 212.612
77, 2720, 0.278024:  16.4859 329.467
2438, 211345, 0.115329:  37.6051 102.502
2527, 587111, 0.0430376:  37.8183 50.5098
2068, 153701, 0.134503:  62.449 106.201
1337, 32135, 0.415411:  105.01 172.559
810, 15100, 0.534656:  148.922 194.825
827, 17528, 0.470476:  153.068 173.768
917, 20689, 0.442163:  144.505 171.554
232, 4812, 0.477195:  200.565 248.362
2021, 228741, 0.0883339:  68.2124 72.744
2137, 220870, 0.0967319:  60.104 86.5164
1454, 38384, 0.378311:  97.9082 165.305
2502, 150024, 0.166718:  27.5706 122.004
403, 7596, 0.527084:  144.362 245.927
1813, 49275, 0.367562:  57.5615 166.443
1092, 16662, 0.653426:  38.0667 225.482
903, 14259, 0.631075:  74.3677 227.349
961, 17832, 0.537414:  130.43 195.977
1477, 24895, 0.592104:  46.5285 203.386
928, 19069, 0.485383:  138.868 185.364
299, 5823, 0.509128:  190.425 240.131
118, 3533, 0.329365:  148.441 293.687
2136, 55895, 0.381804:  25.764 167.657
1586, 40701, 0.389193:  80.6001 169.129
158, 3971, 0.392967:  199.03 266.456
1519, 23636, 0.641308:  27.0779 209.218
1894, 142309, 0.133044:  77.3582 97.6944
916, 14429, 0.632644:  61.4931 229.251
400, 8220, 0.483685:  103.355 253.327
1218, 18132, 0.669896:  25.3806 222.962
354, 7846, 0.448337:  52.3671 264.61
558, 9461, 0.586697:  152.277 227.614
108, 2987, 0.355662:  234.551 250.105
116, 3316, 0.344661:  216.979 269.029
1695, 118235, 0.143298:  91.5453 83.1618
2420, 108791, 0.222343:  26.5137 136.793
650, 11922, 0.542938:  167.512 193.388
94, 3122, 0.29638:  24.2393 319.83
616, 10838, 0.565766:  46.0317 247.434
129, 3570, 0.356388:  178.94 283.7
1302, 36487, 0.356351:  114.931 158.025
1168, 19060, 0.6112:  83.69 209.402
583, 9901, 0.585878:  133.226 233.352
665, 11461, 0.577714:  45.3592 244.638
711, 11878, 0.596082:  113.39 228.559
90, 2856, 0.30975:  202.75 290.423
1560, 27720, 0.561758:  45.448 198.018
1389, 26362, 0.525898:  78.3306 193.013
629, 10643, 0.588242:  118.335 233.617
1310, 28857, 0.453178:  101.628 180.414
396, 7152, 0.54986:  192.601 211.077
2275, 212496, 0.107036:  49.9371 96.2855
2499, 390018, 0.0640658:  37.9227 72.2373
665, 11254, 0.588293:  86.1145 238.62
231, 4912, 0.465562:  205.632 239.907
20, 831, 0.227381:  300.737 320.867
1744, 92954, 0.187519:  86.8978 118.059
45, 1486, 0.293124:  248.72 316.994
256, 6054, 0.419411:  126.538 265.824
1337, 21574, 0.618296:  54.8135 209.147
1506, 50699, 0.296755:  100.613 147.08
676, 11037, 0.609729:  142.895 221.854
511, 8721, 0.582611:  156.598 231.091
1066, 23656, 0.449676:  129.824 176.984
725, 11855, 0.608993:  140.809 218.228
1740, 49329, 0.352377:  69.2034 162.926
1178, 34863, 0.33741:  126.259 148.317
490, 8347, 0.583552:  156.053 234.298
916, 17413, 0.52454:  135.6 194.568
948, 14978, 0.630826:  90.0119 221.223
28, 1085, 0.246936:  116.379 380.72
15, 526, 0.261403:  75.3086 432.987
954, 15952, 0.596178:  116.38 209.718
937, 20975, 0.445661:  142.538 173.217
1153, 27308, 0.42145:  124.963 170.402
1043, 16273, 0.638979:  54.7362 223.956
238, 4935, 0.477456:  195.236 250.856
1600, 73702, 0.216943:  97.6983 123.099
852, 18815, 0.451632:  151.784 165.699
713, 12012, 0.591118:  46.3302 241.897
508, 8651, 0.583851:  176.873 216.076
1147, 19907, 0.574737:  95.4638 203.834
216, 5512, 0.388365:  110.352 275.272
2244, 539241, 0.0416102:  54.7141 27.6139
343, 6504, 0.52336:  164.956 247.151
2160, 89368, 0.241562:  44.2794 141.107
242, 5109, 0.469105:  202.39 240.003
1017, 21266, 0.477108:  132.002 182.893
2560, 191072, 0.133946:  27.4257 110.967
214, 5587, 0.379649:  70.6466 281.067
76, 2495, 0.298682:  220.059 291.152
1530, 48783, 0.313313:  97.1396 151.726
254, 5271, 0.477375:  203.881 233.905
2449, 834487, 0.0293456:  43.6404 20.7732
1101, 16824, 0.652486:  33.6704 225.735
89, 2614, 0.334143:  235.556 273.789
951, 16800, 0.564394:  123.782 203.416
1984, 108636, 0.182544:  65.2397 123.63
346, 6571, 0.522595:  165.103 246.417
2304, 71756, 0.320865:  18.8173 157.368
292, 6936, 0.417989:  42.6754 272.866
1364, 22036, 0.617587:  53.9125 208.288
427, 8580, 0.494794:  82.6146 254.853
206, 4472, 0.455578:  213.95 235.243
2152, 414511, 0.0519103:  60.6528 34.6585
283, 5568, 0.503758:  204.555 220.253
1768, 78254, 0.225787:  82.1487 132.455
97, 2884, 0.330655:  236.174 255.852
2082, 61647, 0.337456:  36.7178 160.739
1445, 55027, 0.26236:  106.555 135.569
433, 7603, 0.565803:  161.1 238.426
1563, 31844, 0.490061:  62.3474 187.211
715, 13777, 0.517108:  162.307 185.035
1607, 36945, 0.434383:  69.2743 178.042
2681, 739101, 0.0362713:  29.3372 47.1018
660, 11059, 0.594119:  157.427 212.884
1261, 19217, 0.654489:  48.3269 216.305
1545, 57020, 0.27072:  98.1874 141.075
576, 10335, 0.554653:  66.8326 246.75
785, 15091, 0.518463:  153.642 189.836
784, 12777, 0.611215:  133.678 216.683
626, 10686, 0.583091:  116.111 234.009
1032, 18368, 0.560323:  115.988 201.152
1530, 88088, 0.173591:  102.534 70.5475
801, 13003, 0.613657:  95.8657 227.989
132, 3398, 0.382871:  227.26 248.635
1342, 19946, 0.671136:  29.117 217.524
1274, 24394, 0.521192:  94.9758 192.421
1068, 18351, 0.580405:  106.346 204.914
1343, 40205, 0.333623:  111.932 153.777
1691, 29946, 0.563743:  30.938 196.818
564, 9631, 0.582592:  143.893 230.865
1863, 52441, 0.354918:  54.5718 164.102
502, 9602, 0.520106:  58.4085 252.46
331, 6412, 0.512241:  179.279 240.669
212, 4920, 0.426581:  183.136 259.368
1514, 66613, 0.227113:  103.165 123.854
381, 8159, 0.464133:  54.0961 262.153
1177, 31009, 0.378957:  124.54 161.301
419, 8237, 0.50562:  113.227 250.411
69, 2356, 0.286845:  53.5769 334.865
305, 5807, 0.520763:  199.858 228.051
233, 4788, 0.48163:  210.389 233.335
2195, 63467, 0.345577:  26.5308 161.597
2406, 98337, 0.244545:  21.6008 142.444
1330, 31302, 0.424216:  103.867 174.772
1236, 23766, 0.51898:  100.853 191.777
313, 6035, 0.514397:  187.653 239.563
1496, 49603, 0.301291:  101.009 148.275
1141, 17641, 0.644963:  63.1397 218.116
1338, 19977, 0.6681:  29.5023 217.347
406, 7204, 0.559705:  181.222 229.339
1881, 66677, 0.281895:  63.3537 149.523
2046, 174828, 0.116996:  65.4098 96.5032
778, 13669, 0.5671:  147.602 203.687
1242, 43519, 0.285065:  122.055 128.585
296, 5955, 0.49294:  184.308 243.04
481, 8237, 0.580438:  170.232 226.346
1972, 63321, 0.311183:  52.4413 155.531
305, 6139, 0.492826:  165.853 251.173
1748, 85973, 0.203202:  86.3016 123.866
452, 8691, 0.517112:  97.4606 251.103
1113, 20740, 0.535355:  112.707 195.182
1340, 40186, 0.333035:  113.066 152.868
332, 7557, 0.43645:  49.6256 266.966
637, 10432, 0.607715:  146.919 223.603
2396, 97795, 0.244877:  22.7613 142.448
110, 3145, 0.34433:  196.654 285.473
2311, 338721, 0.0682172:  49.76 70.0501
875, 14009, 0.622381:  17.843 237.401
330, 6050, 0.541002:  200.236 219.127
2262, 504800, 0.0448054:  54.0272 36.7517
61, 1986, 0.299697:  246.688 291.732
2258, 176507, 0.127891:  49.4465 106.074
1626, 26318, 0.616658:  21.1879 204.698
1255, 26223, 0.477678:  103.722 185.043
815, 13117, 0.618976:  121.66 219.651
2551, 676057, 0.0377307:  36.7446 44.0258
1290, 43581, 0.295662:  118.329 139.091
253, 5480, 0.457523:  175.344 255.281
71, 2335, 0.297759:  233.445 288.455
121, 3592, 0.332266:  140.598 294.423
1185, 21768, 0.543131:  101.095 196.874
1324, 45995, 0.287545:  115.981 137.704
311, 5858, 0.526424:  197.928 230.33
172, 4833, 0.352261:  93.5717 285.903
208, 4607, 0.446665:  204.232 249.047
1796, 37674, 0.47609:  40.2336 183.697
2322, 94384, 0.245886:  29.5408 142.526
728, 11854, 0.611565:  131.387 222.294
755, 15113, 0.497925:  159.328 178.806
1729, 73824, 0.234047:  84.3653 134.503
661, 12349, 0.533112:  166.636 189.901
2311, 494916, 0.0466901:  50.6923 44.3426
189, 4945, 0.378397:  133.905 276.874
718, 13398, 0.533912:  160.935 191.418
1082, 16822, 0.641302:  58.9156 221.498
1511, 62313, 0.242291:  103.002 129.995
709, 11864, 0.595103:  149.575 213.105
924, 14465, 0.636587:  45.5636 231.892
1047, 22215, 0.470246:  128.466 182.404
36, 1203, 0.287539:  199.833 355.994
330, 6395, 0.51204:  178.534 241.459
814, 13049, 0.621426:  72.837 232.563
903, 19972, 0.451005:  146.928 170.942
1241, 20325, 0.609082:  75.9643 207.786
1208, 26962, 0.447209:  114.887 178.217
77, 2479, 0.304528:  215.178 293.985
1957, 106852, 0.183065:  67.8829 123.129
117, 3298, 0.349501:  214.717 271.245
266, 5367, 0.491068:  202.585 233.682
835, 14154, 0.587866:  135.499 208.909
2093, 184178, 0.113609:  62.2388 95.9555
1005, 15497, 0.64643:  34.2775 230.023
1011, 15677, 0.642847:  46.8741 227.337
267, 6477, 0.409082:  71.2973 272.703
296, 5748, 0.51054:  203.63 215.393
1309, 24816, 0.526423:  88.7864 193.413
2537, 128268, 0.197712:  18.9736 131.18
1429, 47649, 0.299587:  106.181 146.89
343, 6942, 0.490573:  144.078 252.103
2692, 400332, 0.0672358:  25.3386 78.3669
137, 4099, 0.330224:  109.592 292.813
533, 9407, 0.563612:  127.503 238.439
1364, 28603, 0.476042:  91.9575 184.487
770, 12595, 0.608941:  53.9201 238.219
230, 5842, 0.390374:  111.274 271.504
824, 13133, 0.625052:  70.165 232.704
411, 7277, 0.560952:  179.255 230.096
390, 6979, 0.554858:  180.024 233.278
807, 15779, 0.509826:  151.421 188.247
909, 18306, 0.495208:  140.521 187.072
1013, 19308, 0.5233:  126.247 193.11
1925, 80040, 0.240355:  64.0701 139.902
826, 13586, 0.605754:  128.795 214.958
2693, 352928, 0.0762937:  23.8952 84.6721
2417, 189732, 0.127357:  38.0612 107.484
2300, 300513, 0.0765231:  49.7464 77.2251
245, 5784, 0.419967:  141.715 264.471
438, 7580, 0.574062:  183.745 221.251
814, 12992, 0.624142:  69.9832 233.379
261, 5287, 0.48906:  201.414 237.663
1375, 21731, 0.631286:  48.1382 210.017
1795, 66538, 0.269568:  75.1279 144.966
147, 3960, 0.366612:  159.943 283.223
481, 8232, 0.580788:  162.796 231.536
1318, 28102, 0.468174:  99.1028 182.896
913, 14275, 0.637351:  29.1345 235.036
591, 10022, 0.586782:  168.883 210.522
1701, 46906, 0.362254:  71.2462 164.851
2128, 63212, 0.336379:  32.9044 160.446
23, 772, 0.280324:  150.441 398.437
173, 3941, 0.433509:  221.539 230.169
135, 3605, 0.369392:  201.717 272.879
432, 8739, 0.491531:  47.7723 259.22
847, 15262, 0.553164:  139.715 201.013
553, 10371, 0.530665:  35.3858 251.675
210, 4517, 0.459848:  214.914 226.777
51, 1654, 0.299425:  248.441 307.118
3, 41, 0.394566:  253.68 629.973
151, 3876, 0.384647:  212.316 257.908
1958, 90193, 0.21697:  64.1473 133.757
1254, 23829, 0.525149:  98.4619 192.503
2738, 491680, 0.055681:  23.0892 70.4202
2734, 274396, 0.0996189:  15.1753 98.7962
399, 7769, 0.510306:  130.529 249.175
1446, 41165, 0.350843:  101.189 159.648
1227, 18248, 0.670568:  23.7459 222.824
1733, 33596, 0.515069:  36.4605 190.056
829, 13444, 0.614351:  121.999 218.197
449, 7927, 0.562879:  185.277 213.494
1177, 23848, 0.492511:  111.192 187.237
1720, 101640, 0.169142:  89.6048 107.429
730, 11890, 0.611396:  133.903 221.078
724, 12180, 0.591992:  51.2864 240.434
81, 2472, 0.321237:  243.963 262.903
825, 13757, 0.597527:  134.096 211.722
1987, 177774, 0.11174:  70.2514 90.0851
300, 5982, 0.497365:  175.832 247.746
2632, 438923, 0.0599581:  29.9396 71.6821
359, 6648, 0.535996:  179.919 237.674
1056, 18829, 0.559354:  113.31 200.658
209, 5204, 0.39781:  155.209 266.885
1841, 116039, 0.158585:  79.2511 110.211
310, 5928, 0.518586:  190.226 238.659
1212, 29294, 0.413032:  119.53 169.597
124, 3996, 0.306499:  19.6871 306.065
104, 2984, 0.342828:  224.348 271.861
1745, 79431, 0.219549:  84.6674 129.994
1233, 40437, 0.304542:  122.428 138.894
92, 2706, 0.333872:  233.327 272.896
2383, 566082, 0.0420927:  46.6916 41.7341
604, 10231, 0.587498:  126.009 233.63
270, 5345, 0.500485:  197.691 240.868
3, 47, 0.360922:  286.454 608.293
1121, 20020, 0.558547:  104.352 200.496
1647, 44033, 0.373614:  76.6836 166.27
495, 8805, 0.559015:  181.47 206.198
99, 2899, 0.335755:  211.384 283.697
805, 12787, 0.627098:  75.7508 233.109
1357, 37933, 0.357265:  107.876 160.595
357, 7642, 0.464128:  86.4063 260.757
2172, 59252, 0.366261:  23.2202 165.365
1295, 28450, 0.454387:  103.618 180.376
760, 12685, 0.596785:  144.096 211.841
2848, 757713, 0.0375843:  15.6649 55.9679
788, 12703, 0.617899:  69.8171 234.697
305, 6880, 0.440127:  98.7562 264.376
468, 7991, 0.582028:  174.372 225.672
122, 3684, 0.326757:  147.275 291.446
1751, 46923, 0.372768:  64.0363 167.061
1433, 26342, 0.542969:  67.0526 196.105
878, 15551, 0.562787:  134.054 203.275
952, 15095, 0.628594:  91.0368 220.536
161, 4061, 0.391661:  206.205 259.039
456, 8123, 0.557945:  184.955 210.402
816, 16473, 0.493859:  152.088 183.085
1133, 17411, 0.648877:  61.5781 218.979
2060, 268192, 0.0767963:  65.4596 64.3954
2154, 59096, 0.364184:  27.2069 164.784
2442, 876717, 0.0278523:  43.9203 12.0028
323, 7275, 0.440966:  79.7951 264.555
1997, 48420, 0.412008:  30.9497 173.641
1042, 16098, 0.645284:  51.4006 225.198
588, 10707, 0.546627:  172.257 197.894
671, 11285, 0.591978:  116.192 230.779
795, 15779, 0.502245:  154.645 183.569
1536, 42789, 0.358552:  91.0879 162.244
1371, 21254, 0.643543:  37.3994 213.129
2252, 79380, 0.28352:  29.9043 150.506
1670, 29319, 0.568628:  31.4149 197.778
1468, 63841, 0.229766:  106.273 121.977
259, 6325, 0.406287:  64.0984 274.89
890, 18690, 0.474922:  144.126 181.955
961, 16109, 0.594718:  116.69 208.955
1818, 60109, 0.302199:  68.0244 153.232
1528, 25462, 0.598935:  37.558 203.891
1668, 41426, 0.402161:  68.9575 172.206
1325, 20634, 0.640594:  46.8724 213.022
1686, 42667, 0.394691:  68.5392 170.761
1941, 50613, 0.38312:  43.5803 168.597
1599, 32969, 0.484267:  58.1746 186.478
1174, 30962, 0.378564:  125.633 160.263
1699, 123369, 0.137661:  91.3356 75.2958
1248, 27372, 0.45511:  107.828 180.75
658, 10755, 0.608984:  148.943 220.29
191, 4224, 0.446919:  217.354 235.541
240, 5057, 0.469966:  202.307 241.158
540, 8952, 0.599876:  164.526 223.944
55, 1992, 0.269425:  82.9674 342.268
1434, 41467, 0.345401:  102.319 158.498
1745, 38012, 0.458463:  48.8537 181.59
2010, 58776, 0.341686:  43.5075 161.413
1138, 19463, 0.583203:  95.2962 205.156
1738, 68384, 0.253967:  81.6532 140.368
583, 10737, 0.540471:  173.958 193.038
553, 9164, 0.600182:  164.615 222.11
2549, 226777, 0.112376:  30.9077 101.939
343, 7916, 0.430588:  24.9008 267.438
1360, 27231, 0.498516:  88.1422 188.431
363, 6667, 0.540435:  182.345 235.281
625, 11253, 0.552956:  169.319 197.105
1012, 15686, 0.643115:  46.0772 227.42
1571, 40171, 0.390592:  83.2969 168.87
203, 5413, 0.371606:  51.1229 285.381
611, 10809, 0.562673:  54.4004 246.317
353, 7602, 0.461327:  87.4536 260.884
1299, 46247, 0.28058:  118.157 132.147
536, 9024, 0.590708:  158.964 227.054
1606, 26692, 0.600554:  28.2463 202.986
1796, 68124, 0.263444:  75.639 143.459
759, 12807, 0.590344:  146.116 209.835
511, 8689, 0.584745:  155.847 231.726
2208, 502812, 0.0439087:  57.2396 14.5709
1696, 36662, 0.461975:  53.3679 182.355
114, 3159, 0.355294:  231.659 249.895
1010, 25879, 0.389526:  138.57 156.807
995, 16249, 0.61047:  105.666 212.426
1680, 62846, 0.267108:  86.7967 142.474
75, 2417, 0.304075:  171.648 311.663
1354, 23454, 0.576073:  66.6944 202.334
2614, 369759, 0.0706851:  30.1656 79.5408
577, 9484, 0.605211:  162.128 221.223
1306, 21023, 0.619752:  57.4283 210.072
1232, 22964, 0.535328:  96.8213 195.271
336, 6086, 0.547606:  198.735 222.804
2303, 602137, 0.0382439:  51.4241 28.3817
75, 2437, 0.301629:  208.191 298.997
1199, 38601, 0.310212:  125.807 134.945
