herwig.ww,0.47,0.57
herwig.wz,1.10,0.99
herwig.zz,3.49,4.32
herwig.vv,0.62,0.69
mcatnlo.ttbar,0.91,0.42
mcatnlo.top,0.94,0.44
mcatnlo.singletop,1.25,0.64
alpgen.wjets,0.51,0.29
alpgen.zjets,1.56,0.49
qcd.alpgen,-,-
rsg.m500.kmpl0\_1,1.06,1.28
rsg.m750.kmpl0\_1,0.17,0.22
rsg.m1000.kmpl0\_1,0.06,0.52
rsg.m1250.kmpl0\_1,0.12,0.45
rsg.m1500.kmpl0\_1,0.28,0.17
wprime.wz.m500,1.46,0.88
wprime.wz.m600,0.30,0.11
wprime.wz.m700,0.17,0.21
wprime.wz.m800,0.11,0.07
wprime.wz.m900,0.03,0.04
wprime.wz.m1000,0.08,0.19
wprime.wz.m1100,0.14,0.36
wprime.wz.m1200,0.06,0.36
wprime.wz.m1300,0.00,0.33
wprime.wz.m1400,0.14,0.97
wprime.wz.m1500,0.00,0.16
afii.kkg.lvjj.m500,1.44,0.90
afii.kkg.lvjj.m600,0.13,0.45
afii.kkg.lvjj.m700,0.10,0.06
afii.kkg.lvjj.m800,0.06,0.20
afii.kkg.lvjj.m900,0.07,0.08
afii.kkg.lvjj.m1000,0.00,0.29
afii.kkg.lvjj.m1100,0.19,0.23
afii.kkg.lvjj.m1200,0.00,0.28
afii.kkg.lvjj.m1300,0.39,0.73
afii.kkg.lvjj.m1400,0.26,1.19
afii.kkg.lvjj.m1500,0.29,0.51
