herwig.ww,0.57,0.28
herwig.wz,0.80,0.08
herwig.zz,3.49,2.33
herwig.vv,0.63,0.22
mcatnlo.ttbar,0.88,0.17
mcatnlo.top,0.93,0.19
mcatnlo.singletop,1.37,0.30
alpgen.wjets,0.63,0.12
alpgen.zjets,0.18,0.31
qcd.alpgen,-,-
rsg.m500.kmpl0\_1,1.07,0.29
rsg.m750.kmpl0\_1,0.13,0.22
rsg.m1000.kmpl0\_1,0.03,0.45
rsg.m1250.kmpl0\_1,0.02,0.58
rsg.m1500.kmpl0\_1,0.22,0.14
wprime.wz.m500,0.97,0.40
wprime.wz.m600,0.11,0.34
wprime.wz.m700,0.14,0.33
wprime.wz.m800,0.10,0.07
wprime.wz.m900,0.03,0.02
wprime.wz.m1000,0.08,0.13
wprime.wz.m1100,0.05,0.44
wprime.wz.m1200,0.06,0.27
wprime.wz.m1300,0.00,0.33
wprime.wz.m1400,0.14,1.11
wprime.wz.m1500,0.00,0.16
afii.kkg.lvjj.m500,0.84,0.19
afii.kkg.lvjj.m600,0.19,0.27
afii.kkg.lvjj.m700,0.05,0.06
afii.kkg.lvjj.m800,0.04,0.23
afii.kkg.lvjj.m900,0.07,0.08
afii.kkg.lvjj.m1000,0.00,0.29
afii.kkg.lvjj.m1100,0.19,0.42
afii.kkg.lvjj.m1200,0.00,0.28
afii.kkg.lvjj.m1300,0.39,0.34
afii.kkg.lvjj.m1400,0.00,1.19
afii.kkg.lvjj.m1500,0.00,0.14
