herwig.ww,0.40,0.60
herwig.wz,1.59,0.61
herwig.zz,7.39,15.15
herwig.vv,0.56,0.40
mcatnlo.ttbar,0.06,0.63
mcatnlo.top,0.20,0.38
mcatnlo.singletop,1.39,1.55
alpgen.wjets,1.14,0.27
alpgen.zjets,6.96,7.57
qcd.alpgen,-,-
rsg.m500.kmpl0\_1,1.72,1.46
rsg.m750.kmpl0\_1,0.64,1.10
rsg.m1000.kmpl0\_1,0.80,0.54
rsg.m1250.kmpl0\_1,1.16,1.57
rsg.m1500.kmpl0\_1,1.27,0.64
wprime.wz.m500,1.76,0.64
wprime.wz.m600,1.16,1.34
wprime.wz.m700,0.90,0.90
wprime.wz.m800,1.10,0.13
wprime.wz.m900,0.95,1.00
wprime.wz.m1000,0.50,1.00
wprime.wz.m1100,1.25,0.69
wprime.wz.m1200,0.32,2.37
wprime.wz.m1300,2.39,1.16
wprime.wz.m1400,1.55,4.60
wprime.wz.m1500,1.53,1.26
afii.kkg.lvjj.m500,2.40,1.26
afii.kkg.lvjj.m600,1.32,0.90
afii.kkg.lvjj.m700,0.90,0.99
afii.kkg.lvjj.m800,0.26,0.25
afii.kkg.lvjj.m900,1.35,0.44
afii.kkg.lvjj.m1000,0.90,1.41
afii.kkg.lvjj.m1100,2.18,2.98
afii.kkg.lvjj.m1200,0.82,2.80
afii.kkg.lvjj.m1300,1.67,1.88
afii.kkg.lvjj.m1400,2.98,3.18
afii.kkg.lvjj.m1500,2.25,4.59
