herwig.ww,9.45,11.81
herwig.wz,7.11,9.05
herwig.zz,14.44,10.59
herwig.vv,8.93,11.10
mcatnlo.ttbar,4.78,7.30
mcatnlo.top,5.16,7.54
mcatnlo.singletop,8.37,9.41
alpgen.wjets,10.99,10.75
alpgen.zjets,18.04,9.08
qcd.alpgen,-,-
rsg.m500.kmpl0\_1,9.78,12.20
rsg.m750.kmpl0\_1,2.57,2.30
rsg.m1000.kmpl0\_1,2.88,2.03
rsg.m1250.kmpl0\_1,5.30,3.47
rsg.m1500.kmpl0\_1,4.33,4.07
wprime.wz.m500,10.44,11.49
wprime.wz.m600,2.57,4.37
wprime.wz.m700,1.44,1.83
wprime.wz.m800,0.81,0.12
wprime.wz.m900,0.83,0.58
wprime.wz.m1000,0.71,0.33
wprime.wz.m1100,0.67,0.68
wprime.wz.m1200,0.42,1.16
wprime.wz.m1300,1.46,0.89
wprime.wz.m1400,1.70,3.30
wprime.wz.m1500,1.49,2.42
afii.kkg.lvjj.m500,9.61,13.79
afii.kkg.lvjj.m600,4.12,5.12
afii.kkg.lvjj.m700,2.83,2.63
afii.kkg.lvjj.m800,2.54,3.06
afii.kkg.lvjj.m900,3.37,2.79
afii.kkg.lvjj.m1000,3.31,2.72
afii.kkg.lvjj.m1100,4.90,3.71
afii.kkg.lvjj.m1200,3.65,4.11
afii.kkg.lvjj.m1300,4.77,5.77
afii.kkg.lvjj.m1400,8.35,4.24
afii.kkg.lvjj.m1500,4.89,6.65
