herwig.ww,0.11,0.08
herwig.wz,0.14,0.70
herwig.zz,0.00,0.32
herwig.vv,0.12,0.09
mcatnlo.ttbar,0.14,0.79
mcatnlo.top,0.12,0.69
mcatnlo.singletop,0.07,0.14
alpgen.wjets,0.42,1.21
alpgen.zjets,1.59,2.37
qcd.alpgen,-,-
rsg.m500.kmpl0\_1,0.41,0.07
rsg.m750.kmpl0\_1,0.08,0.11
rsg.m1000.kmpl0\_1,0.19,0.29
rsg.m1250.kmpl0\_1,0.15,0.84
rsg.m1500.kmpl0\_1,0.23,0.40
wprime.wz.m500,0.22,0.51
wprime.wz.m600,0.03,0.53
wprime.wz.m700,0.14,0.30
wprime.wz.m800,0.13,0.55
wprime.wz.m900,0.00,0.87
wprime.wz.m1000,0.12,0.69
wprime.wz.m1100,0.10,0.12
wprime.wz.m1200,0.08,1.68
wprime.wz.m1300,0.00,0.42
wprime.wz.m1400,0.04,2.01
wprime.wz.m1500,0.00,1.60
afii.kkg.lvjj.m500,0.24,0.64
afii.kkg.lvjj.m600,0.11,0.02
afii.kkg.lvjj.m700,0.06,0.08
afii.kkg.lvjj.m800,0.06,0.14
afii.kkg.lvjj.m900,0.03,0.26
afii.kkg.lvjj.m1000,0.00,0.36
afii.kkg.lvjj.m1100,0.46,0.70
afii.kkg.lvjj.m1200,0.00,0.64
afii.kkg.lvjj.m1300,0.82,1.12
afii.kkg.lvjj.m1400,0.00,1.19
afii.kkg.lvjj.m1500,0.00,0.14
