herwig.ww,0.14,0.38
herwig.wz,0.01,0.19
herwig.zz,0.00,0.32
herwig.vv,0.11,0.25
mcatnlo.ttbar,0.18,0.08
mcatnlo.top,0.16,0.14
mcatnlo.singletop,0.08,0.58
alpgen.wjets,0.10,0.40
alpgen.zjets,0.80,0.86
qcd.alpgen,-,-
rsg.m500.kmpl0\_1,0.31,0.15
rsg.m750.kmpl0\_1,0.04,0.22
rsg.m1000.kmpl0\_1,0.10,0.48
rsg.m1250.kmpl0\_1,0.12,0.70
rsg.m1500.kmpl0\_1,0.18,0.11
wprime.wz.m500,0.16,0.79
wprime.wz.m600,0.08,0.10
wprime.wz.m700,0.11,0.23
wprime.wz.m800,0.07,0.03
wprime.wz.m900,0.00,0.04
wprime.wz.m1000,0.08,0.19
wprime.wz.m1100,0.09,0.45
wprime.wz.m1200,0.00,0.10
wprime.wz.m1300,0.00,0.33
wprime.wz.m1400,0.03,0.84
wprime.wz.m1500,0.00,0.00
afii.kkg.lvjj.m500,0.32,0.70
afii.kkg.lvjj.m600,0.11,0.17
afii.kkg.lvjj.m700,0.06,0.07
afii.kkg.lvjj.m800,0.00,0.21
afii.kkg.lvjj.m900,0.00,0.00
afii.kkg.lvjj.m1000,0.00,0.30
afii.kkg.lvjj.m1100,0.37,0.33
afii.kkg.lvjj.m1200,0.00,0.28
afii.kkg.lvjj.m1300,0.63,0.54
afii.kkg.lvjj.m1400,0.00,1.19
afii.kkg.lvjj.m1500,0.00,0.14
