herwig.ww,0.47,0.48
herwig.wz,1.19,0.92
herwig.zz,3.49,4.32
herwig.vv,0.64,0.61
mcatnlo.ttbar,0.78,0.43
mcatnlo.top,0.78,0.47
mcatnlo.singletop,0.85,0.72
alpgen.wjets,0.45,0.12
alpgen.zjets,2.13,0.84
qcd.alpgen,-,-
rsg.m500.kmpl0\_1,0.96,1.11
rsg.m750.kmpl0\_1,0.14,0.21
rsg.m1000.kmpl0\_1,0.07,0.47
rsg.m1250.kmpl0\_1,0.12,0.46
rsg.m1500.kmpl0\_1,0.28,0.16
wprime.wz.m500,1.22,0.89
wprime.wz.m600,0.24,0.11
wprime.wz.m700,0.23,0.16
wprime.wz.m800,0.11,0.07
wprime.wz.m900,0.03,0.04
wprime.wz.m1000,0.08,0.19
wprime.wz.m1100,0.14,0.49
wprime.wz.m1200,0.06,0.36
wprime.wz.m1300,0.00,0.33
wprime.wz.m1400,0.14,0.84
wprime.wz.m1500,0.00,0.16
afii.kkg.lvjj.m500,1.35,0.83
afii.kkg.lvjj.m600,0.13,0.38
afii.kkg.lvjj.m700,0.03,0.07
afii.kkg.lvjj.m800,0.06,0.20
afii.kkg.lvjj.m900,0.07,0.08
afii.kkg.lvjj.m1000,0.00,0.29
afii.kkg.lvjj.m1100,0.19,0.31
afii.kkg.lvjj.m1200,0.00,0.28
afii.kkg.lvjj.m1300,0.39,0.53
afii.kkg.lvjj.m1400,0.00,1.19
afii.kkg.lvjj.m1500,0.29,0.51
