mspt
sample,el_lowm,el_highm,mu_lowm,mu_highm
herwig.ww,0,0,0.000182767,0.0016553,
herwig.wz,0,0,0.000255612,0.00379386,
herwig.zz,0,0,0,0,
mcatnlo.ttbar,0,0,3.70091e-05,0.000408904,
mcatnlo.singletop,0,0,0.000111904,0.00112829,
alpgen.wjets,0,0,0.000142622,0.00154754,
alpgen.zjets,0,0,0.000128155,0.0132034,
qcd.alpgen,0,0,0,nan,
Backgrounds,=AVERAGE(B3:B6),=AVERAGE(C3:C6),=AVERAGE(D3:D6),=AVERAGE(E3:E6)
gww.lvjj.m500.kmpl0_1,0,0,0.000246666,0.00138421,
gww.lvjj.m1000.kmpl0_1,0,0,0,0.000356957,
gww.lvjj.m1250.kmpl0_1,0,0,0,0,
gww.lvjj.m1500.kmpl0_1,0,0,0,0.00192745,
