herwig.ww,0.84,0.39
herwig.wz,0.83,0.39
herwig.zz,0.72,0.38
herwig.vv,0.83,0.39
mcatnlo.ttbar,0.88,0.37
mcatnlo.top,0.88,0.37
mcatnlo.singletop,0.88,0.38
alpgen.wjets,0.81,0.39
alpgen.zjets,0.83,0.41
qcd.alpgen,-,-
rsg.m500.kmpl0\_1,0.90,0.36
rsg.m750.kmpl0\_1,0.89,0.39
rsg.m1000.kmpl0\_1,0.85,0.41
rsg.m1250.kmpl0\_1,0.80,0.43
rsg.m1500.kmpl0\_1,0.75,0.45
wprime.wz.m500,0.85,0.37
wprime.wz.m600,0.86,0.39
wprime.wz.m700,0.86,0.39
wprime.wz.m800,0.89,0.40
wprime.wz.m900,0.89,0.41
wprime.wz.m1000,0.87,0.42
wprime.wz.m1100,0.87,0.43
wprime.wz.m1200,0.86,0.44
wprime.wz.m1300,0.86,0.44
wprime.wz.m1400,0.81,0.46
wprime.wz.m1500,0.82,0.46
afii.kkg.lvjj.m500,0.89,0.36
afii.kkg.lvjj.m600,0.91,0.37
afii.kkg.lvjj.m700,0.91,0.39
afii.kkg.lvjj.m800,0.91,0.39
afii.kkg.lvjj.m900,0.89,0.40
afii.kkg.lvjj.m1000,0.90,0.41
afii.kkg.lvjj.m1100,0.88,0.42
afii.kkg.lvjj.m1200,0.87,0.42
afii.kkg.lvjj.m1300,0.88,0.43
afii.kkg.lvjj.m1400,0.88,0.43
afii.kkg.lvjj.m1500,0.89,0.43
