refutrk
sample,el_lowm,el_highm,mu_lowm,mu_highm
herwig.ww,0,0,0.00018716,0.000518335,
herwig.wz,0,0,0.000582084,0,
herwig.zz,0,0,0.00217905,0,
mcatnlo.ttbar,4.60102e-06,0,0.000204505,0.000978976,
mcatnlo.singletop,0,0,0.000315963,0.000784514,
alpgen.wjets,0,0,0.0003562,0.000903734,
alpgen.zjets,0,0,0.00146859,0.0106084,
qcd.alpgen,0,0,0.000229579,nan,
Backgrounds,=AVERAGE(B3:B6),=AVERAGE(C3:C6),=AVERAGE(D3:D6),=AVERAGE(E3:E6)
gww.lvjj.m500.kmpl0_1,0,0,0,0,
gww.lvjj.m1000.kmpl0_1,0,0,0,0,
gww.lvjj.m1250.kmpl0_1,0,0,0,0,
gww.lvjj.m1500.kmpl0_1,0,0,0.0010102,0.00106914,
