herwig.ww,0.27,0.30
herwig.wz,0.17,0.67
herwig.zz,3.49,0.32
herwig.vv,0.20,0.29
mcatnlo.ttbar,0.09,0.42
mcatnlo.top,0.05,0.43
mcatnlo.singletop,0.76,0.62
alpgen.wjets,0.18,0.54
alpgen.zjets,0.23,0.34
qcd.alpgen,-,-
rsg.m500.kmpl0\_1,0.21,0.48
rsg.m750.kmpl0\_1,0.05,0.24
rsg.m1000.kmpl0\_1,0.05,0.45
rsg.m1250.kmpl0\_1,0.06,0.66
rsg.m1500.kmpl0\_1,0.32,0.17
wprime.wz.m500,0.30,1.14
wprime.wz.m600,0.10,0.27
wprime.wz.m700,0.05,0.26
wprime.wz.m800,0.14,0.07
wprime.wz.m900,0.03,0.02
wprime.wz.m1000,0.08,0.19
wprime.wz.m1100,0.09,0.56
wprime.wz.m1200,0.00,0.19
wprime.wz.m1300,0.00,0.33
wprime.wz.m1400,0.01,0.97
wprime.wz.m1500,0.00,0.16
afii.kkg.lvjj.m500,0.48,0.76
afii.kkg.lvjj.m600,0.19,0.23
afii.kkg.lvjj.m700,0.04,0.05
afii.kkg.lvjj.m800,0.06,0.16
afii.kkg.lvjj.m900,0.00,0.05
afii.kkg.lvjj.m1000,0.00,0.30
afii.kkg.lvjj.m1100,0.28,0.19
afii.kkg.lvjj.m1200,0.00,0.28
afii.kkg.lvjj.m1300,0.39,0.34
afii.kkg.lvjj.m1400,0.26,1.19
afii.kkg.lvjj.m1500,0.29,0.51
