topo
sample,el_lowm,el_highm,mu_lowm,mu_highm
herwig.ww,0.0517933,0.0572717,0.0717299,0.190025,
herwig.wz,0.0490723,0.131251,0.0580925,0.142038,
herwig.zz,0.100968,0.136995,0.0215917,0.153976,
mcatnlo.ttbar,0.0338364,0.0880021,0.0489793,0.177576,
mcatnlo.singletop,0.0443952,0.0372313,0.0599274,0.192301,
alpgen.wjets,0.0724052,0.0951197,0.0714883,0.152045,
alpgen.zjets,0.221005,0.172524,0.0884207,0.0491059,
qcd.alpgen,0,nan,0,nan,
Backgrounds,=AVERAGE(B3:B6),=AVERAGE(C3:C6),=AVERAGE(D3:D6),=AVERAGE(E3:E6)
gww.lvjj.m750.kmpl0_1,0.0096763,0.0215153,0.0217772,0.0412191,
gww.lvjj.m200.kmpl0_1,0.132138,0,0.146173,0.118736,
gww.lvjj.m350.kmpl0_1,0.0284697,0.0971691,0.0249453,0.20078,
gww.lvjj.m500.kmpl0_1,0.0254025,0.122599,0.0175254,0.182952,
gww.lvjj.m1000.kmpl0_1,0.00653292,0.00820502,0.0305187,0.0397343,
gww.lvjj.m1250.kmpl0_1,0.00920488,0.00660594,0.0256256,0.0408459,
