herwig.ww,0.56,1.72
herwig.wz,0.55,1.70
herwig.zz,0.65,1.79
herwig.vv,0.56,1.71
mcatnlo.ttbar,0.56,1.74
mcatnlo.top,0.56,1.74
mcatnlo.singletop,0.56,1.73
alpgen.wjets,0.56,1.71
alpgen.zjets,0.53,1.75
qcd.alpgen,-,-
rsg.m500.kmpl0\_1,0.55,1.74
rsg.m750.kmpl0\_1,0.56,1.72
rsg.m1000.kmpl0\_1,0.56,1.73
rsg.m1250.kmpl0\_1,0.56,1.71
rsg.m1500.kmpl0\_1,0.56,1.71
wprime.wz.m500,0.56,1.72
wprime.wz.m600,0.56,1.72
wprime.wz.m700,0.56,1.73
wprime.wz.m800,0.56,1.75
wprime.wz.m900,0.56,1.73
wprime.wz.m1000,0.56,1.75
wprime.wz.m1100,0.55,1.73
wprime.wz.m1200,0.56,1.73
wprime.wz.m1300,0.56,1.71
wprime.wz.m1400,0.55,1.74
wprime.wz.m1500,0.55,1.68
afii.kkg.lvjj.m500,0.56,1.74
afii.kkg.lvjj.m600,0.56,1.75
afii.kkg.lvjj.m700,0.55,1.74
afii.kkg.lvjj.m800,0.56,1.74
afii.kkg.lvjj.m900,0.56,1.75
afii.kkg.lvjj.m1000,0.56,1.78
afii.kkg.lvjj.m1100,0.56,1.76
afii.kkg.lvjj.m1200,0.57,1.73
afii.kkg.lvjj.m1300,0.55,1.73
afii.kkg.lvjj.m1400,0.53,1.71
afii.kkg.lvjj.m1500,0.55,1.71
