uboy
sample,el_lowm,el_highm,mu_lowm,mu_highm
herwig.ww,0.000827027,0,0.000869727,0.0113381,
herwig.wz,4.11967e-05,0.000881413,0.00324867,0.000649558,
herwig.zz,0,0,0.0429352,0.13073,
mcatnlo.ttbar,2.35771e-05,0.00330216,0.000268878,0.00284625,
mcatnlo.singletop,0.00103582,0,0.00121134,0.00774895,
alpgen.wjets,0.000119993,0,0.000327814,0.00456988,
alpgen.zjets,0,0,0.0141176,0.0661707,
qcd.alpgen,0.000659596,0,0.0154562,nan,
Backgrounds,=AVERAGE(B3:B6),=AVERAGE(C3:C6),=AVERAGE(D3:D6),=AVERAGE(E3:E6)
gww.lvjj.m750.kmpl0_1,0,0,0.00290434,0.00298947,
gww.lvjj.m200.kmpl0_1,0,0,0.00560006,0,
gww.lvjj.m350.kmpl0_1,0,0,0.00142653,0,
gww.lvjj.m500.kmpl0_1,5.5519e-05,0,0.00293849,0.00669839,
gww.lvjj.m1000.kmpl0_1,0.00186124,0,0.00466766,0.00499791,
gww.lvjj.m1250.kmpl0_1,0,0,0.00162102,0.00185201,
