systematic,alpgen.wjets,alpgen.zjets,mcatnlo.ttbar,mcatnlo.singletop,herwig.ww,herwig.wz,herwig.zz,qcd.alpgen
JES,10.99,18.04,4.78,8.37,9.45,7.11,14.44,-
JER,1.14,6.96,0.06,1.39,0.40,1.59,7.39,-
LES,0.10,0.80,0.18,0.08,0.14,0.01,0.00,-
LER,0.42,1.59,0.14,0.07,0.11,0.14,0.00,-
All Clusters,0.51,1.56,0.91,1.25,0.47,1.10,3.49,-
Met PileUp,0.45,2.13,0.78,0.85,0.47,1.19,3.49,-
ID SF,0.96,0.92,0.89,0.88,0.92,0.93,0.83,-
Reco SF,0.81,0.83,0.88,0.88,0.84,0.83,0.72,-
Trigger SF,0.56,0.53,0.56,0.56,0.56,0.55,0.65,-
Iso SF,2.00,2.00,2.00,2.00,2.00,2.00,2.00,-
Luminosity,-,-,3.90,3.90,3.90,3.90,3.90,-
MJ Normalization,-,-,-,-,-,-,-,80.0
V+jets,2.46,2.58,0.00,0.00,0.00,0.00,0.00,-
Total,2.46,2.58,6.74,9.76,10.53,8.76,17.55,80.0
