systematic,alpgen.wjets,alpgen.zjets,mcatnlo.ttbar,mcatnlo.singletop,herwig.ww,herwig.wz,herwig.zz,qcd.alpgen
JES,10.75,9.08,7.30,9.41,11.81,9.05,10.59,-
JER,0.27,7.57,0.63,1.55,0.60,0.61,15.15,-
LES,0.40,0.86,0.08,0.58,0.38,0.19,0.32,-
LER,1.21,2.37,0.79,0.14,0.08,0.70,0.32,-
All Clusters,0.29,0.49,0.42,0.64,0.57,0.99,4.32,-
Met PileUp,0.12,0.84,0.43,0.72,0.48,0.92,4.32,-
ID SF,0.04,0.04,0.04,0.04,0.04,0.04,0.04,-
Reco SF,0.39,0.41,0.37,0.38,0.39,0.39,0.38,-
Trigger SF,1.71,1.75,1.74,1.73,1.72,1.70,1.79,-
Iso SF,1.00,1.00,1.00,1.00,1.00,1.00,1.00,-
Luminosity,-,-,3.90,3.90,3.90,3.90,3.90,-
MJ Normalization,-,-,-,-,-,-,-,100.0
V+jets,2.42,2.40,0.00,0.00,0.00,0.00,0.00,-
Total,2.42,2.4,8.60,10.5,12.6,10.1,19.9,100.
